figure_id,page,label,caption,image_path
fig_011,8,picture,"Fig. 8. Top: Formation of Cr (grey atoms) clustering predicted and extracted from modelling of Fe-alloys with nominal 3at.%Cr alloys containing Fe (pink) containing C (red), N (green) impurities interacting with vacancies (blue) [98]. Bottom: Temperature and composition maps showing fcc (blue) and bcc (red) phases of Fe-Cr-Ni-Mn high entropy alloys from Monte-Carlo simulations using cluster expansion Hamiltonian [96,97,99].. (For interpretation of the references to colour in this fi gure legend, the reader is referred to the web version of this article.)",images/fig_011_Fig_8_Top_Formation_of_Cr_grey_atoms.png
fig_012,8,picture,"Fig. 7. Top: Modelling of co-segregation of Cr (blue) and V (red) from W (yellow) and Ta (green) in high-entropy alloys W 38 Ta 36 Cr 15 V 11 [79]. The arrow shows a direction where the predicted composition partitioning changes between the matrix and the Cr-V-rich precipitates. Bottom: Reduction of void density from binary W-Ta to W-Ta-V alloys with 3% and 5% at. of V obtained from overlapping cascade molecular dynamics simulations in combination with annealing using machine-learning potentials [88]. (For interpretation of the references to colour in this fi gure legend, the reader is referred to the web version of this article.)",images/fig_012_Fig_7_Top_Modelling_of_co-segregation.png
fig_013,9,picture,,images/fig_013_no_caption.png
fig_014,10,picture,Fig. 10. Re-enriched matrix precipitates in pure W irradiated in a mixed spectrum reactor at 590-700 °C [5]. The measured and calculated transmutant Re content is far below the 25% Re equilibrium phase stability limit for W-Re at these temperatures [112].,images/fig_014_Fig_10_Re-enriched_matrix_precipitates.png
fig_015,10,picture,Fig. 11. Comparison of predicted and measured hardening of HT9 and T91 ferritic/martensitic steels following fast reactor or dual ion irradiation [129].,images/fig_015_Fig_11_Comparison_of_predicted_and_mea.png
fig_016,12,picture,"Fig. 12. DFT-CRA trajectories of microstructural evolution in bcc Fe. The evolution of the total energy for four trajectories (t1-t4) and their average is shown, data from [145].",images/fig_016_Fig_12_DFT-CRA_trajectories_of_microst.png
fig_017,13,picture,,images/fig_017_no_caption.png
fig_018,13,picture,"Fig. 14. The largest C15-type structures, dynamically formed under CRA conditions, as a function of irradiation dose predicted by different methodologies [145].",images/fig_018_Fig_14_The_largest_C15-type_structures.png
fig_019,13,picture,Fig. 15. Variation of lattice strain and volume strain of a ion irradiated tungsten sample. The scatter plot shows X-ray Laue diffraction measurements of the lattice strain along the irradiation direction. Lattice strain and volumetric strain derived from CRA simulations are shown in solid and dashed curves respectively. Figure adapted from [158].,images/fig_019_Fig_15_Variation_of_lattice_strain_and.png
fig_020,14,picture,,images/fig_020_no_caption.png
fig_021,15,picture,"Fig. 17. Comparison of binding energies calculated with the MLP using (a) 4 × 4 × 4, (b) 8 × 8 × 8, and (c) 12 × 12 × 12 supercells. The DFT data (purple and green) in all panels is calculated using a 4 × 4 × 4 supercell. Binding energies calculated using fi xed-cells (purple and blue star markers); relaxed-cells (green and red hexagon markers. Binding energies of He with He  -1  bubbles (solid markers) and with He  -1 clusters (open markers). (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)",images/fig_021_Fig_17_Comparison_of_binding_energies_.png
fig_022,15,picture,Fig. 18. Comparison of (a) formation energies and (b) relaxation volumes of vacancies in the equiatomic random Ta-Ti-V-W high-entropy alloy computed using DFT and MLP.,images/fig_022_Fig_18_Comparison_of_a_formation_ene.png
fig_023,16,picture,Fig. 19. Distribution of (a) formation energies and (b) relaxation volumes for vacancies computed using MLP for the structure of disordered equiatomic Ta-Ti-V-W alloy with 128at. sites.,images/fig_023_Fig_19_Distribution_of_a_formation_e.png
fig_024,17,picture,"Fig. 20. (a) Hydrogen interacting with lattice defects in a material. (b) A typical Arrhenius plot of the diffusion coefficient of solute hydrogen in a metal. The blue open symbols represent experimental data, which often deviate at low temperatures due to the trapping effects of lattice defects. The red solid and green dashed lines show the diffusion coefficients with and without NQEs, respectively. (c) NQEs and their description by PI methods. (d) Improvements in the accuracy-efficiency trade-off thanks to MLPs. (For interpretation of the references to colour in this fi gure legend, the reader is referred to the web version of this article.)",images/fig_024_Fig_20_a_Hydrogen_interacting_with_l.png
fig_025,17,picture,"Fig. 21. Graphical representation of the REBa 2 Cu 3 O 7 unitcell, where red spheres represent oxygen ions and the blue, green and yellow spheres represent the copper, barium and rare earth cations respectively. (For interpretation of the references to colour in this fi gure legend, the reader is referred to the web version of this article.)",images/fig_025_Fig_21_Graphical_representation_of_the.png
fig_026,18,picture,"Fig. 22. Two images of the cascade progression in the x-z plane of a 20 keV cascade with pka launched in the x direction taken at the peak damage and fi nal state. Vacancies are cubes, interstitial are spheres, antisites are spherocylinders with the colours the same as in Fig. 21 [283].",images/fig_026_Fig_22_Two_images_of_the_cascade_progr.png
fig_027,19,picture,,images/fig_027_no_caption.png
fig_028,19,picture,,images/fig_028_no_caption.png
fig_029,21,picture,"Fig. 25. Trajectories of migrating SIA  defects and He-SIA  (  = 1, 2) defects at 300 K. (a) SIA 1 ; (b) SIA 2 ; (c) He-SIA 1 , and (d) He-SIA 2 [328].",images/fig_029_Fig_25_Trajectories_of_migrating_SIA_.png
fig_030,21,picture,Fig. 26. (a) Simulated retention as a function of the annealing temperature after 2 keV D ion implantation with a fl uence of 10 22 D/m 2 at 317 K. (b) Simulated total and partial TDS spectra at the heating rate of 0.5 K/s [346].,images/fig_030_Fig_26_a_Simulated_retention_as_a_fu.png
fig_031,22,picture,"Fig. 27. (a) Analysis-ready CAD model of the MAST-U tokamak device. The associated fi nite element mesh involves 127 million elements. (b) for the purpose of demonstrating the capabilities of a full-scale FEM simulation, the tokamak is loaded with gravitational body forces, producing stresses in the structure illustrated here using the von Mises invariant of the stress fi eld. Figures from [349].",images/fig_031_Fig_27_a_Analysis-ready_CAD_model_of.png
fig_032,22,picture,Fig. 28. A demonstration of the capabilities of V-KSTAR: a) 3D distribution of heat fl uxes on the plasma facing components of the KSTAR tokamak due to fast ion losses. b) V-KSTAR 3D tracings of radio frequency waves injected for plasma heating and current drive in KSTAR.,images/fig_032_Fig_28_A_demonstration_of_the_capabili.png
fig_033,24,picture,"Fig. 29. Changes in dimensional stability as a function of temperature for Fe under DEMO helium-cooled pebble bed (HCPB) fusion blanket conditions [367], using a model developed in Ref. [361]. Fig. 29(a) Swelling rate. Fig. 29(b) Creep rate.",images/fig_033_Fig_29_Changes_in_dimensional_stabilit.png
fig_034,24,picture,"Fig. 30. Molecular dynamics simulation of low temperature irradiation creep in tungsten. Figure adapted from Ref. [148]. In the absence of thermally activated diffusion, vacancies remain immobile and isolated, while self-interstitial atom defects coalesce irrespectively of thermal activation, driven by elastic interactions. The irreversible deformation remains closely aligned with externally applied stress.",images/fig_034_Fig_30_Molecular_dynamics_simulation_o.png
