figure_id,page,label,caption,image_path
fig_020,11,picture,"Fig. 12. The number of Frenkel defects in (a) Cu-0at%Ni, (b) Cu-5at%Ni, (c) Cu-10at%Ni and (d) Cu-20at%Ni varies with time when the PKA energy in different directions is 4 keV at 300 K.",images/fig_020_Fig_12_The_number_of_Frenkel_defects_i.png
fig_021,12,picture,"Fig. 13. The final distribution of the number of Frenkel defects(t = 100ps) in Cu-10at%Ni alloy with PKA energy of 4 keV at 300 K and along different directions, where red and blue circles represent interstitial atoms and vacancies, respectively.",images/fig_021_Fig_13_The_final_distribution_of_the_n.png
fig_022,12,picture,Fig. 14. (a) Stress-strain curves and (b) enlarged stress-strain curves around yield strength for Cu and Cu -Ni alloys at 300 K.,images/fig_022_Fig_14_a_Stress-strain_curves_and_b.png
fig_023,13,picture,Fig. 15. The yield strength of Cu -Ni alloys changes with Ni content at 300 K.,images/fig_023_Fig_15_The_yield_strength_of_Cu_-Ni_al.png
fig_024,13,picture,"Fig. 16. Structural phase transitions observed in (a) Cu- 0 at%Ni, (b) Cu-5at%Ni, (c) Cu-10at%Ni and (d) Cu-20at%Ni during tensile deformation.",images/fig_024_Fig_16_Structural_phase_transitions_ob.png
fig_025,14,picture,"Fig. 17. Comparison of phase change structures of Cu and Cu -Ni alloys during the tensile process, where (a) FCC, (b) BCC, (c) HCP and (d) Other.",images/fig_025_Fig_17_Comparison_of_phase_change_stru.png
fig_026,15,picture,"Fig. 18. The length of the dislocation line generated by (a) Cu-0at%Ni, (b) Cu-5at%Ni, (c) Cu-10at%Ni and (d) Cu-20at%Ni varies with strain during tensile process.",images/fig_026_Fig_18_The_length_of_the_dislocation_l.png
fig_027,16,picture,"Fig. 19. The Microstructural diagrams of phase structure and dislocations produced in Cu and Cu -Ni alloys during tensile stretching, where (a) strain = 0.02 (b) strain = 0.09 (c) strain = 0.25.",images/fig_027_Fig_19_The_Microstructural_diagrams_of.png
fig_028,17,picture,"Fig. 20. Stress-strain curves of (a) Cu-0at%Ni, (b) Cu-5at%Ni, (c) Cu-10at%Ni and (d) Cu-20at%Ni after irradiation with different PKA energies in the direction [100] at 300 K, (e),(f),(g) and (h) are amplified corresponding graphs near the yield strength in (a), (b), (c) and (d), respectively.",images/fig_028_Fig_20_Stress-strain_curves_of_a_Cu-.png
fig_029,18,picture,"Fig. 21. The lengths of dislocation lines during the stretching of (a) Cu-0at%Ni, (b) Cu-5at%Ni, (c) Cu-10at%Ni and (d) Cu-20at%Ni under different PKA energy irradiations as a function of time.",images/fig_029_Fig_21_The_lengths_of_dislocation_line.png
fig_030,18,picture,Fig. 22. Yield strength (GPa) of Cu and Cu -Ni alloys after 300 K irradiation with different PKA energies along the [100] direction. (a) Stress vs. Ni content for varying irradiation energies. (b) Stress vs. PKA energy for Cu alloys with different Ni contents.,images/fig_030_Fig_22_Yield_strength_GPa_of_Cu_and_.png
